item_topic,source_topic,age_segment,dt,Others,Top and Other,record_id,visits
Деньги,Дети,18-25,9/24/2019 6:33:00 PM,Others,Дети,1040695,3
Деньги,Дети,18-25,9/24/2019 6:53:00 PM,Others,Дети,1040696,1
Деньги,Дети,18-25,9/24/2019 6:54:00 PM,Others,Дети,1040697,11
Деньги,Дети,18-25,9/24/2019 6:55:00 PM,Others,Дети,1040698,33
Деньги,Дети,18-25,9/24/2019 6:56:00 PM,Others,Дети,1040699,66
Деньги,Дети,18-25,9/24/2019 6:57:00 PM,Others,Дети,1040700,72
Деньги,Дети,18-25,9/24/2019 6:58:00 PM,Others,Дети,1040701,71
Деньги,Дети,18-25,9/24/2019 6:59:00 PM,Others,Дети,1040702,61
Деньги,Дети,18-25,9/24/2019 7:00:00 PM,Others,Дети,1040703,15
Деньги,Дети,26-30,9/24/2019 6:30:00 PM,Others,Дети,1040704,2
Деньги,Дети,26-30,9/24/2019 6:31:00 PM,Others,Дети,1040705,1
Деньги,Дети,26-30,9/24/2019 6:53:00 PM,Others,Дети,1040706,4
Деньги,Дети,26-30,9/24/2019 6:54:00 PM,Others,Дети,1040707,6
Деньги,Дети,26-30,9/24/2019 6:55:00 PM,Others,Дети,1040708,12
Деньги,Дети,26-30,9/24/2019 6:56:00 PM,Others,Дети,1040709,33
Деньги,Дети,26-30,9/24/2019 6:57:00 PM,Others,Дети,1040710,25
Деньги,Дети,26-30,9/24/2019 6:58:00 PM,Others,Дети,1040711,25
Деньги,Дети,26-30,9/24/2019 6:59:00 PM,Others,Дети,1040712,33
Деньги,Дети,26-30,9/24/2019 7:00:00 PM,Others,Дети,1040713,9
Деньги,Дети,31-35,9/24/2019 6:28:00 PM,Others,Дети,1040714,1
Деньги,Дети,31-35,9/24/2019 6:30:00 PM,Others,Дети,1040715,4
Деньги,Дети,31-35,9/24/2019 6:31:00 PM,Others,Дети,1040716,2
Деньги,Дети,31-35,9/24/2019 6:33:00 PM,Others,Дети,1040717,1
Деньги,Дети,31-35,9/24/2019 6:34:00 PM,Others,Дети,1040718,3
Деньги,Дети,31-35,9/24/2019 6:52:00 PM,Others,Дети,1040719,1
Деньги,Дети,31-35,9/24/2019 6:53:00 PM,Others,Дети,1040720,1
Деньги,Дети,31-35,9/24/2019 6:54:00 PM,Others,Дети,1040721,9
Деньги,Дети,31-35,9/24/2019 6:55:00 PM,Others,Дети,1040722,18
Деньги,Дети,31-35,9/24/2019 6:56:00 PM,Others,Дети,1040723,20
Деньги,Дети,31-35,9/24/2019 6:57:00 PM,Others,Дети,1040724,42
Деньги,Дети,31-35,9/24/2019 6:58:00 PM,Others,Дети,1040725,24
Деньги,Дети,31-35,9/24/2019 6:59:00 PM,Others,Дети,1040726,30
Деньги,Дети,31-35,9/24/2019 7:00:00 PM,Others,Дети,1040727,12
Деньги,Дети,36-40,9/24/2019 6:28:00 PM,Others,Дети,1040728,1
Деньги,Дети,36-40,9/24/2019 6:30:00 PM,Others,Дети,1040729,2
Деньги,Дети,36-40,9/24/2019 6:33:00 PM,Others,Дети,1040730,1
Деньги,Дети,36-40,9/24/2019 6:53:00 PM,Others,Дети,1040731,1
Деньги,Дети,36-40,9/24/2019 6:54:00 PM,Others,Дети,1040732,6
Деньги,Дети,36-40,9/24/2019 6:55:00 PM,Others,Дети,1040733,17
Деньги,Дети,36-40,9/24/2019 6:56:00 PM,Others,Дети,1040734,16
Деньги,Дети,36-40,9/24/2019 6:57:00 PM,Others,Дети,1040735,21
Деньги,Дети,36-40,9/24/2019 6:58:00 PM,Others,Дети,1040736,33
Деньги,Дети,36-40,9/24/2019 6:59:00 PM,Others,Дети,1040737,21
Деньги,Дети,36-40,9/24/2019 7:00:00 PM,Others,Дети,1040738,5
Деньги,Дети,41-45,9/24/2019 6:28:00 PM,Others,Дети,1040739,1
Деньги,Дети,41-45,9/24/2019 6:30:00 PM,Others,Дети,1040740,1
Деньги,Дети,41-45,9/24/2019 6:31:00 PM,Others,Дети,1040741,1
Деньги,Дети,41-45,9/24/2019 6:32:00 PM,Others,Дети,1040742,1
Деньги,Дети,41-45,9/24/2019 6:54:00 PM,Others,Дети,1040743,1
Деньги,Дети,41-45,9/24/2019 6:55:00 PM,Others,Дети,1040744,7
Деньги,Дети,41-45,9/24/2019 6:56:00 PM,Others,Дети,1040745,1
Деньги,Дети,41-45,9/24/2019 6:57:00 PM,Others,Дети,1040746,13
Деньги,Дети,41-45,9/24/2019 6:58:00 PM,Others,Дети,1040747,10
Деньги,Дети,41-45,9/24/2019 6:59:00 PM,Others,Дети,1040748,7
Деньги,Дети,41-45,9/24/2019 7:00:00 PM,Others,Дети,1040749,1
Деньги,Дети,45+,9/24/2019 6:52:00 PM,Others,Дети,1040750,1
Деньги,Дети,45+,9/24/2019 6:55:00 PM,Others,Дети,1040751,4
Деньги,Дети,45+,9/24/2019 6:56:00 PM,Others,Дети,1040752,2
Деньги,Дети,45+,9/24/2019 6:57:00 PM,Others,Дети,1040753,4
Деньги,Дети,45+,9/24/2019 6:58:00 PM,Others,Дети,1040754,5
Деньги,Дети,45+,9/24/2019 6:59:00 PM,Others,Дети,1040755,1
Деньги,Дети,45+,9/24/2019 7:00:00 PM,Others,Дети,1040756,3
Деньги,Еда,18-25,9/24/2019 6:29:00 PM,Others,Другие,1040757,2
Деньги,Еда,18-25,9/24/2019 6:30:00 PM,Others,Другие,1040758,1
Деньги,Еда,18-25,9/24/2019 6:31:00 PM,Others,Другие,1040759,2
Деньги,Еда,18-25,9/24/2019 6:32:00 PM,Others,Другие,1040760,1
Деньги,Еда,18-25,9/24/2019 6:52:00 PM,Others,Другие,1040761,1
Деньги,Еда,18-25,9/24/2019 6:53:00 PM,Others,Другие,1040762,2
Деньги,Еда,18-25,9/24/2019 6:54:00 PM,Others,Другие,1040763,3
Деньги,Еда,18-25,9/24/2019 6:55:00 PM,Others,Другие,1040764,10
Деньги,Еда,18-25,9/24/2019 6:56:00 PM,Others,Другие,1040765,16
Деньги,Еда,18-25,9/24/2019 6:57:00 PM,Others,Другие,1040766,21
Деньги,Еда,18-25,9/24/2019 6:58:00 PM,Others,Другие,1040767,22
Деньги,Еда,18-25,9/24/2019 6:59:00 PM,Others,Другие,1040768,23
Деньги,Еда,18-25,9/24/2019 7:00:00 PM,Others,Другие,1040769,8
Деньги,Еда,26-30,9/24/2019 6:31:00 PM,Others,Другие,1040770,1
Деньги,Еда,26-30,9/24/2019 6:32:00 PM,Others,Другие,1040771,2
Деньги,Еда,26-30,9/24/2019 6:54:00 PM,Others,Другие,1040772,3
Деньги,Еда,26-30,9/24/2019 6:55:00 PM,Others,Другие,1040773,5
Деньги,Еда,26-30,9/24/2019 6:56:00 PM,Others,Другие,1040774,8
Деньги,Еда,26-30,9/24/2019 6:57:00 PM,Others,Другие,1040775,7
Деньги,Еда,26-30,9/24/2019 6:58:00 PM,Others,Другие,1040776,4
Деньги,Еда,26-30,9/24/2019 6:59:00 PM,Others,Другие,1040777,2
Деньги,Еда,31-35,9/24/2019 6:54:00 PM,Others,Другие,1040778,2
Деньги,Еда,31-35,9/24/2019 6:55:00 PM,Others,Другие,1040779,1
Деньги,Еда,31-35,9/24/2019 6:56:00 PM,Others,Другие,1040780,4
Деньги,Еда,31-35,9/24/2019 6:57:00 PM,Others,Другие,1040781,7
Деньги,Еда,31-35,9/24/2019 6:58:00 PM,Others,Другие,1040782,3
Деньги,Еда,31-35,9/24/2019 6:59:00 PM,Others,Другие,1040783,4
Деньги,Еда,31-35,9/24/2019 7:00:00 PM,Others,Другие,1040784,1
Деньги,Еда,36-40,9/24/2019 6:57:00 PM,Others,Другие,1040785,9
Деньги,Еда,36-40,9/24/2019 6:58:00 PM,Others,Другие,1040786,2
Деньги,Еда,36-40,9/24/2019 6:59:00 PM,Others,Другие,1040787,1
Деньги,Еда,36-40,9/24/2019 7:00:00 PM,Others,Другие,1040788,5
Деньги,Еда,41-45,9/24/2019 6:54:00 PM,Others,Другие,1040789,1
Деньги,Еда,41-45,9/24/2019 6:55:00 PM,Others,Другие,1040790,1
Деньги,Еда,41-45,9/24/2019 6:57:00 PM,Others,Другие,1040791,1
Деньги,Еда,41-45,9/24/2019 7:00:00 PM,Others,Другие,1040792,1
Деньги,Еда,45+,9/24/2019 6:55:00 PM,Others,Другие,1040793,1
